                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1973,                 7.2071,                 1.9664,                0.00193,                0.91868,                0.14719,                0.04189,                 2.1955,                 4.6791,                 2.0034,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.8049,                 5.1868,                 1.7131,                0.00196,                0.88022,                0.04118,                0.01377,                 2.0725,                 4.6108,                 1.8387,             0.00028537,             0.00028537,             0.00028537
                      3,                 1.7541,                 4.9321,                 1.5489,                 0.0019,                0.91429,                0.15463,                0.09261,                 1.7576,                 4.5022,                 1.7214,             0.00038771,             0.00038771,             0.00038771
                      4,                 1.6752,                  4.742,                 1.6315,                 0.0018,                0.89011,                0.03157,                0.01682,                 1.9069,                  4.579,                 2.0908,             0.00045704,             0.00045704,             0.00045704
                      5,                 1.6113,                 4.4091,                 1.5413,                0.00177,                0.83297,                0.01078,                0.00347,                 1.8523,                 4.4678,                 1.9772,             0.00049337,             0.00049337,             0.00049337
                      6,                 1.5977,                 4.0634,                 1.5165,                0.08738,                0.09304,                0.05604,                0.01415,                 2.0027,                 4.4062,                 2.0146,             0.00049668,             0.00049668,             0.00049668
                      7,                 1.6415,                 4.1272,                 1.5514,                0.00169,                0.84725,                0.02301,                0.00928,                 1.9136,                 4.4733,                  2.056,             0.00046699,             0.00046699,             0.00046699
                      8,                 1.5332,                 3.7195,                 1.4807,                0.00174,                0.86154,                0.01684,                0.00443,                 1.9217,                 4.3586,                 1.9823,              0.0004043,              0.0004043,              0.0004043
                      9,                 1.4267,                 3.5097,                 1.4471,                0.00159,                0.79451,                0.00525,                0.00167,                 1.9407,                 4.4487,                 1.9533,              0.0003086,              0.0003086,              0.0003086
                     10,                 1.4231,                 3.5982,                 1.3625,                 0.0017,                0.82308,                0.01001,                0.00313,                 1.9444,                  4.299,                 1.8831,             0.00017989,             0.00017989,             0.00017989
