                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2173,                  4.951,                 1.8934,                0.00194,                0.94286,                0.13735,                0.07374,                 2.2404,                 4.5337,                 2.0883,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.8513,                 4.0938,                 1.5792,                0.00219,                0.94286,                0.04033,                0.01143,                 2.1924,                 4.8324,                 1.9744,             0.00030889,             0.00030889,             0.00030889
                      3,                  1.612,                 3.5272,                 1.3905,                0.00182,                0.79451,                0.05546,                0.02116,                 1.9936,                 4.5489,                 1.9412,              0.0004595,              0.0004595,              0.0004595
                      4,                 1.6818,                 3.4707,                  1.484,                0.00167,                0.73187,                0.01755,                0.00586,                 2.4918,                 4.8472,                 2.6181,             0.00060186,             0.00060186,             0.00060186
                      5,                  1.755,                 3.5455,                 1.5185,                0.00171,                0.80879,                0.00224,                0.00069,                 2.3523,                 4.7034,                 2.1377,             0.00073596,             0.00073596,             0.00073596
                      6,                 1.6566,                 3.2836,                 1.4688,                0.00194,                0.94286,                0.01421,                0.00585,                 2.0708,                 4.5207,                 1.9858,             0.00086182,             0.00086182,             0.00086182
                      7,                 1.6839,                 3.0915,                 1.4583,                0.00197,                0.92857,                 0.0143,                0.00335,                 2.3086,                 4.3766,                 2.3188,             0.00097942,             0.00097942,             0.00097942
                      8,                 1.6747,                 2.9682,                 1.4958,                0.00183,                0.86154,                0.00565,                0.00158,                 2.2454,                  4.599,                 2.1166,              0.0010888,              0.0010888,              0.0010888
                      9,                 1.5984,                 2.8502,                 1.4688,                0.01839,                0.07143,                0.01377,                0.00377,                  2.521,                 4.8155,                 2.3026,              0.0011899,              0.0011899,              0.0011899
                     10,                 1.6549,                 2.6681,                 1.5083,                0.00133,                0.60769,                0.00493,                0.00099,                 2.9436,                 4.7834,                 2.8128,              0.0012827,              0.0012827,              0.0012827
                     11,                 1.6068,                 2.5776,                 1.4296,                 0.0006,                0.24396,                0.00094,                0.00022,                 3.6553,                 5.0481,                 4.1422,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.5585,                 2.5015,                 1.3768,                0.00195,                 0.2011,                0.00096,                0.00027,                 3.5879,                 11.438,                  3.916,              0.0012544,              0.0012544,              0.0012544
                     13,                 1.4726,                 2.3234,                  1.349,                0.00213,                 0.0956,                0.00115,                0.00032,                 3.2708,                 17.167,                 3.4628,              0.0012132,              0.0012132,              0.0012132
                     14,                 1.6252,                 2.5206,                 1.4972,                0.00832,                0.02857,                0.00303,                0.00087,                 2.8739,                   8.26,                 3.1447,              0.0011719,              0.0011719,              0.0011719
                     15,                 1.5228,                 2.3194,                 1.4193,                0.01188,                0.06703,                0.00654,                0.00171,                 2.6845,                 4.5861,                 2.9234,              0.0011306,              0.0011306,              0.0011306
                     16,                 1.4292,                  2.069,                 1.3208,                 0.0051,                0.03846,                0.00692,                0.00228,                 2.8971,                 4.6139,                 3.1326,              0.0010894,              0.0010894,              0.0010894
                     17,                 1.5427,                 2.1841,                 1.4187,                0.03596,                 0.1967,                0.01731,                0.00505,                 2.5445,                 4.1328,                 2.4643,              0.0010481,              0.0010481,              0.0010481
                     18,                 1.4746,                 2.1181,                 1.3438,                0.00315,                0.76593,                 0.0068,                0.00228,                    2.4,                 4.3819,                 2.4865,              0.0010069,              0.0010069,              0.0010069
                     19,                 1.4379,                 1.9138,                 1.3093,                 0.0278,                0.18242,                0.02105,                0.00832,                 2.4354,                 3.8848,                 2.2579,             0.00096561,             0.00096561,             0.00096561
                     20,                 1.4747,                 1.9763,                 1.3477,                 0.1562,                0.06703,                 0.0443,                0.03063,                 2.4044,                  3.926,                 2.1695,             0.00092435,             0.00092435,             0.00092435
                     21,                 1.3618,                 1.7938,                 1.2901,                0.09629,                0.01429,                0.04276,                0.01194,                 3.0081,                 3.9695,                 2.3944,             0.00088309,             0.00088309,             0.00088309
