                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2917,                 5.5767,                  2.364,                0.00085,                0.79167,                0.01525,                  0.004,                 2.3347,                 8.5163,                 2.5449,             0.00030006,             0.00030006,             0.00030006
                      2,                  2.222,                 5.0513,                 2.2499,                0.00084,                0.72049,                0.02462,                0.00516,                 2.5808,                 9.0281,                 3.4916,             0.00055573,             0.00055573,             0.00055573
                      3,                 2.3531,                 4.9888,                 2.3942,                0.00544,                0.25868,                0.00746,                0.00154,                 2.4995,                 7.7798,                 3.2379,             0.00074868,             0.00074868,             0.00074868
                      4,                 2.3748,                 4.6321,                 2.4673,                0.54669,                0.04688,                0.03461,                0.00913,                 2.4417,                 7.4724,                   2.77,             0.00087893,             0.00087893,             0.00087893
                      5,                 2.3313,                 4.3742,                 2.3252,                0.09557,                0.07812,                0.05391,                0.02334,                 2.3916,                 8.4382,                 2.5283,             0.00094646,             0.00094646,             0.00094646
                      6,                 2.3141,                 4.0968,                 2.3729,                0.00085,                0.77083,                0.00534,                0.00153,                 2.7604,                 6.9884,                 2.9326,             0.00084184,             0.00084184,             0.00084184
                      7,                 2.3061,                 4.1973,                 2.3504,                0.53025,                0.01562,                0.00818,                0.00282,                 2.6836,                 9.1952,                 2.9163,             0.00084184,             0.00084184,             0.00084184
                      8,                 2.1734,                 3.7212,                 2.2845,                0.68901,                0.02778,                0.03836,                0.01242,                 2.3775,                 6.4497,                 2.7887,              0.0006768,              0.0006768,              0.0006768
                      9,                  2.112,                 3.5344,                  2.173,                0.03937,                0.09375,                0.03504,                 0.0112,                 2.1523,                 5.1198,                 2.3653,             0.00051177,             0.00051177,             0.00051177
                     10,                 2.0922,                 3.3614,                 2.1245,                 0.0988,                0.09028,                0.03247,                0.01153,                 2.2935,                 5.2046,                 2.3247,             0.00034674,             0.00034674,             0.00034674
