                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.555,                 2.4859,                 1.5084,                0.27231,                0.02362,                0.04376,                0.01193,                 2.5344,                 4.2156,                  2.391,             0.00054988,             0.00054988,             0.00054988
                      2,                 1.3736,                 1.7395,                 1.3807,                0.09841,                0.16533,                0.05021,                0.01536,                 2.4259,                 4.4367,                 2.4665,              0.0010691,              0.0010691,              0.0010691
                      3,                 1.3395,                 1.5705,                 1.3483,                0.16036,                0.19031,                 0.0807,                0.02242,                 2.6733,                 4.4956,                 2.4706,              0.0015516,              0.0015516,              0.0015516
                      4,                 1.2928,                 1.4653,                 1.3301,                0.07863,                0.11397,                0.03762,                0.01056,                 2.6678,                 5.1888,                 2.3505,               0.001502,               0.001502,               0.001502
                      5,                 1.2488,                 1.3875,                 1.3015,                0.22639,                0.25758,                0.16225,                0.05188,                 2.3769,                 2.9672,                 2.0598,               0.001502,               0.001502,               0.001502
                      6,                 1.2239,                 1.3183,                 1.2885,                0.20624,                0.11127,                0.09714,                0.02985,                 2.3774,                 3.6019,                 2.2725,               0.001447,               0.001447,               0.001447
                      7,                 1.1728,                 1.2545,                 1.2539,                0.21169,                 0.2384,                0.14922,                 0.0434,                 2.4227,                 3.5746,                 2.1602,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.1738,                 1.2088,                 1.2532,                0.23389,                0.21563,                0.13759,                0.04043,                 2.5391,                 3.8152,                 2.1252,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.1567,                 1.1837,                 1.2307,                0.15288,                0.20097,                 0.0899,                0.02764,                 2.4688,                 3.1363,                 2.0766,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.1247,                 1.1339,                 1.2224,                0.25835,                0.26908,                0.19018,                0.06157,                 2.3979,                 3.2219,                 2.1205,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.1222,                 1.1025,                 1.2187,                0.21117,                0.20508,                0.11942,                0.03753,                 2.4734,                  3.258,                 2.1631,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.0735,                 1.0503,                 1.1972,                0.27156,                0.26543,                0.18912,                 0.0627,                  2.378,                 2.8636,                 2.0445,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0911,                 1.0469,                 1.2055,                0.23602,                0.27919,                0.18264,                0.05783,                  2.428,                 3.0963,                 2.0744,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.0637,                 1.0221,                 1.1848,                0.28953,                0.26436,                0.20053,                0.06753,                  2.397,                 2.7925,                 2.1046,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.0409,                 0.9921,                 1.1789,                0.24273,                0.27932,                0.18339,                0.06102,                 2.4042,                 2.6928,                 2.0873,             0.00095186,             0.00095186,             0.00095186
                     16,                  1.031,                0.97142,                 1.1703,                0.29814,                0.25966,                0.20094,                0.06892,                 2.3184,                 2.8024,                   2.12,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.0205,                0.96139,                 1.1643,                0.30593,                0.28361,                0.22239,                0.07461,                 2.3363,                 2.7674,                 2.0971,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.0223,                 0.9418,                  1.162,                0.29203,                0.30538,                0.22486,                0.07683,                  2.333,                 2.7992,                 2.0954,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.0197,                0.92991,                 1.1659,                 0.3011,                 0.2958,                0.22552,                0.07648,                 2.2966,                 2.7443,                 2.0292,             0.00073181,             0.00073181,             0.00073181
                     20,                0.98678,                0.89168,                 1.1405,                0.27301,                0.28327,                0.19654,                0.06503,                  2.415,                 2.8662,                  2.121,              0.0006768,              0.0006768,              0.0006768
                     21,                0.97686,                0.87075,                 1.1452,                0.30926,                0.26961,                0.21445,                 0.0738,                 2.3787,                 2.8039,                 2.1216,             0.00062179,             0.00062179,             0.00062179
                     22,                0.96244,                0.82267,                 1.1278,                0.32462,                0.29229,                  0.231,                0.07857,                  2.395,                  2.619,                  2.112,             0.00056678,             0.00056678,             0.00056678
                     23,                0.94539,                 0.7951,                 1.1258,                0.34418,                 0.2916,                0.22736,                0.07944,                 2.3755,                 2.6629,                 2.1165,             0.00051177,             0.00051177,             0.00051177
                     24,                0.94151,                0.78213,                 1.1156,                0.36044,                0.30971,                0.25162,                0.08989,                 2.3581,                 2.5581,                 2.0695,             0.00045676,             0.00045676,             0.00045676
                     25,                0.93583,                0.76247,                 1.1083,                0.36554,                0.30869,                0.26497,                0.09434,                    2.3,                 2.5217,                 2.0581,             0.00040175,             0.00040175,             0.00040175
