                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9015,                 4.2639,                 2.0888,                0.00623,                0.81667,                0.23172,                0.07519,                 1.0442,                 4.0204,                 1.6355,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.5039,                 4.0494,                 1.7028,                0.00574,                0.71667,                0.22335,                0.10692,                 1.0566,                 3.9238,                 1.6656,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      3,                 1.2361,                 3.6464,                 1.6526,                 0.0062,                0.71667,                0.25922,                0.14389,                0.91106,                 3.9074,                 1.6201,             5.7303e-05,             5.7303e-05,             5.7303e-05
                      4,                 1.1679,                 3.4291,                 1.4506,                0.00696,                0.71667,                0.30157,                 0.1598,                 0.8812,                 3.8926,                 1.5924,             7.0321e-05,             7.0321e-05,             7.0321e-05
                      5,                 0.8414,                 3.1932,                 1.3014,                0.00704,                0.71667,                0.27955,                0.14707,                0.93818,                 3.9485,                 1.6415,              7.768e-05,              7.768e-05,              7.768e-05
                      6,                0.86246,                 2.9219,                 1.3261,                0.00801,                0.71667,                0.27168,                0.18826,                 0.8976,                 3.9231,                 1.6455,             7.9381e-05,             7.9381e-05,             7.9381e-05
                      7,                0.83567,                 2.6733,                 1.2553,                0.00823,                0.71667,                0.32936,                0.22818,                0.89409,                 3.8736,                 1.6759,             7.5423e-05,             7.5423e-05,             7.5423e-05
                      8,                0.77741,                 2.4377,                 1.2804,                0.00809,                0.61667,                0.32331,                0.23845,                0.82065,                 3.8226,                 1.6355,             6.5805e-05,             6.5805e-05,             6.5805e-05
                      9,                0.75746,                 2.0316,                 1.1539,                0.00912,                0.71667,                0.34685,                0.25335,                 0.8794,                 3.7578,                 1.6354,             5.0529e-05,             5.0529e-05,             5.0529e-05
                     10,                0.72034,                 2.1042,                 1.1993,                0.00976,                0.71667,                0.34214,                0.25417,                0.88255,                 3.7216,                 1.6393,             2.9595e-05,             2.9595e-05,             2.9595e-05
