                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3443,                 3.0997,                 1.4511,                0.00748,                0.97023,                0.24252,                0.14476,                0.82441,                 3.2901,                 1.1809,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                  1.112,                 2.8063,                 1.3415,                0.00799,                0.94206,                0.28347,                0.19222,                 0.7598,                 3.1627,                 1.1726,              0.0001533,              0.0001533,              0.0001533
                      3,                 1.0491,                 2.3541,                 1.3197,                0.00774,                0.98695,                 0.4905,                0.36906,                0.76414,                 2.9133,                 1.1577,              0.0002309,              0.0002309,              0.0002309
                      4,                 1.0089,                 1.9459,                 1.2899,                0.65772,                0.31608,                0.54532,                0.39826,                0.84684,                 2.8655,                 1.2123,             0.00030427,             0.00030427,             0.00030427
                      5,                  1.026,                 1.7165,                 1.2842,                0.87008,                0.12655,                0.54245,                0.35461,                 1.0165,                  2.894,                 1.3966,             0.00037338,             0.00037338,             0.00037338
                      6,                0.98372,                 1.5743,                 1.2446,                0.80563,                0.20275,                0.46965,                 0.3186,                 1.0808,                 2.9233,                 1.4576,             0.00043826,             0.00043826,             0.00043826
                      7,                 1.0234,                 1.5816,                 1.2942,                0.77097,                0.32534,                0.54466,                 0.3538,                 1.3379,                 3.0198,                 1.5802,             0.00049889,             0.00049889,             0.00049889
                      8,                0.99138,                 1.4101,                 1.2347,                0.78581,                0.51989,                0.69688,                0.47657,                 1.1473,                 2.4691,                  1.433,             0.00055527,             0.00055527,             0.00055527
                      9,                 1.0203,                 1.4659,                 1.2734,                0.77254,                0.37515,                0.62898,                0.43353,                 1.1997,                 2.5808,                 1.5555,             0.00060741,             0.00060741,             0.00060741
                     10,                0.99424,                  1.386,                 1.2546,                 0.7186,                0.58658,                0.70126,                0.49382,                 1.0432,                 2.0998,                  1.403,             0.00065531,             0.00065531,             0.00065531
                     11,                0.98816,                 1.3747,                 1.2432,                0.76526,                0.70623,                0.80759,                0.57947,                 1.0125,                  1.944,                 1.3583,             0.00069896,             0.00069896,             0.00069896
                     12,                0.96884,                 1.3237,                 1.2275,                0.64422,                0.71189,                0.75074,                0.51976,                 1.1478,                 1.8872,                 1.5095,             0.00073837,             0.00073837,             0.00073837
                     13,                0.90913,                 1.2647,                 1.2075,                0.78581,                0.75024,                0.82809,                0.59617,                 1.1146,                 1.8034,                 1.4363,             0.00077353,             0.00077353,             0.00077353
                     14,                 0.9994,                 1.2506,                 1.2074,                0.74806,                0.75546,                0.79292,                0.55303,                  1.082,                 1.7414,                 1.4343,             0.00080445,             0.00080445,             0.00080445
                     15,                0.96396,                 1.2352,                 1.2114,                0.83799,                0.79866,                0.84881,                0.62247,                0.96836,                 1.5497,                 1.3136,             0.00083113,             0.00083113,             0.00083113
                     16,                0.99884,                 1.1963,                 1.2263,                0.82471,                0.80445,                0.88967,                0.65944,                0.93145,                 1.6941,                  1.283,             0.00085356,             0.00085356,             0.00085356
                     17,                0.95438,                 1.2102,                 1.2155,                0.79294,                0.80526,                0.86201,                0.66362,                0.90876,                 1.7397,                  1.318,             0.00086312,             0.00086312,             0.00086312
                     18,                0.95562,                 1.1861,                 1.2124,                0.72711,                0.71344,                0.77396,                0.55964,                0.99789,                 1.9378,                 1.3553,             0.00086312,             0.00086312,             0.00086312
                     19,                0.95499,                 1.2272,                 1.2113,                  0.774,                0.79766,                0.86675,                0.63874,                0.94068,                 1.6053,                 1.3142,             0.00082775,             0.00082775,             0.00082775
                     20,                0.94256,                 1.1652,                 1.1981,                 0.8266,                0.82067,                0.89745,                0.67116,                0.90538,                 1.4084,                 1.2797,             0.00079238,             0.00079238,             0.00079238
                     21,                0.96094,                 1.1312,                  1.239,                0.87023,                 0.7641,                0.90452,                0.67614,                0.91882,                   1.34,                 1.2983,             0.00075701,             0.00075701,             0.00075701
                     22,                0.93248,                 1.1289,                  1.203,                 0.7671,                0.79808,                 0.8576,                0.61726,                0.95392,                 1.4568,                 1.2905,             0.00072164,             0.00072164,             0.00072164
                     23,                0.89228,                 1.0507,                 1.1812,                0.80891,                0.81816,                0.84834,                0.61537,                0.98013,                 1.5002,                 1.3123,             0.00068628,             0.00068628,             0.00068628
                     24,                0.90659,                  1.038,                 1.1585,                0.80704,                 0.7724,                0.79096,                0.59535,                0.89434,                 1.5931,                   1.24,             0.00065091,             0.00065091,             0.00065091
                     25,                0.88398,                 1.0271,                 1.1809,                0.83675,                0.80069,                 0.8646,                0.68241,                 0.8493,                 1.4601,                 1.2128,             0.00061554,             0.00061554,             0.00061554
                     26,                0.86642,                 1.0003,                 1.1415,                0.87795,                0.84027,                0.92543,                 0.7009,                0.88308,                 1.2769,                 1.2765,             0.00058017,             0.00058017,             0.00058017
                     27,                0.85553,                0.93848,                 1.1571,                0.92131,                0.89839,                0.95236,                0.73784,                0.84495,                  1.086,                 1.2204,             0.00054481,             0.00054481,             0.00054481
                     28,                0.85884,                0.94005,                 1.1284,                0.86256,                0.91037,                0.94206,                0.74566,                0.82137,                 1.0958,                 1.1991,             0.00050944,             0.00050944,             0.00050944
                     29,                0.86488,                0.95707,                  1.158,                0.89966,                0.90424,                0.94155,                0.75994,                0.81529,                  1.067,                 1.1745,             0.00047407,             0.00047407,             0.00047407
                     30,                0.78811,                0.91354,                 1.1234,                0.93277,                0.88216,                0.94711,                0.76293,                0.78973,                 1.0516,                 1.1575,              0.0004387,              0.0004387,              0.0004387
                     31,                0.70941,                 1.0515,                 1.1003,                 0.9032,                0.93799,                0.95105,                0.75646,                0.80436,                  1.116,                 1.1837,             0.00040334,             0.00040334,             0.00040334
                     32,                0.70167,                 1.0245,                 1.0985,                0.90591,                0.96485,                  0.953,                0.73574,                0.85834,                 1.1363,                 1.3118,             0.00036797,             0.00036797,             0.00036797
                     33,                0.68416,                0.91707,                 1.1206,                0.91254,                 0.9675,                0.95445,                0.74885,                0.76687,                  1.043,                 1.2019,              0.0003326,              0.0003326,              0.0003326
                     34,                0.65309,                 0.9184,                 1.0545,                0.91192,                0.95705,                 0.9604,                0.75899,                  0.779,                 1.0058,                  1.202,             0.00029723,             0.00029723,             0.00029723
                     35,                0.62299,                 0.8605,                  1.042,                0.93284,                0.94564,                0.96034,                0.76566,                0.79513,                 1.0197,                 1.2191,             0.00026186,             0.00026186,             0.00026186
                     36,                0.66527,                0.84533,                 1.0782,                0.94044,                0.93618,                0.95776,                0.75435,                0.81886,                0.98057,                 1.2345,              0.0002265,              0.0002265,              0.0002265
                     37,                 0.5999,                0.82717,                 1.0438,                0.92933,                0.95189,                0.95588,                0.77906,                0.75763,                0.92934,                 1.1854,             0.00019113,             0.00019113,             0.00019113
                     38,                0.59792,                0.79253,                 1.0345,                0.94056,                0.95791,                0.96105,                 0.7913,                0.72406,                0.87808,                 1.1361,             0.00015576,             0.00015576,             0.00015576
                     39,                0.60096,                0.76229,                 1.0116,                0.95713,                0.95871,                0.96562,                0.80753,                0.70175,                0.83584,                  1.104,             0.00012039,             0.00012039,             0.00012039
                     40,                0.58015,                0.75364,                 1.0084,                0.96133,                0.95308,                0.96701,                0.81048,                0.67405,                0.80109,                 1.0804,             8.5026e-05,             8.5026e-05,             8.5026e-05
